Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440005,Parental Attitudes and Socio-Cultural Barriers,"This theme captures responses where parental beliefs, family mindsets, and cultural norms discourage girls from attending school. It includes attitudes such as prioritizing domestic roles for girls, believing education is unnecessary for them, concerns about dowry increasing with higher education, or long-standing traditions that limit girls' mobility and learning opportunities. These socio-cultural factors collectively shape decisions that keep girls out of school.","Discrimination,cultural beliefs,social pressure,not allowed,marriage,dowry,take care of siblings,girls do not need to study,girls run away,speak foul language,purdah,burkha,ghoonghat,caste,Dalit,SC ST,gender discrimination,religious restriction,much dowry,self esteem,lack role model,where will,after studying,villagers here,girls not allowed to go out,boys prioritized,gender inequality,girls restricted,girls kept at home,community norms,village tradition,conservative family,religious restrictions for girls,girls no need to study,girls should stay home,family honor at stake,girls not permitted,purdah system,women seclusion,girls education waste,cook food,become officer,role models,educational aspirations,urdu medium,what will she do,housework,no son,daughter burden,speech weak,mother tongue",Approved,437,22 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,40509 | To educate girls and provide them with equal opportunities for education | 0.6284
,,,,,,17101 | To educate parents about the importance of girls' education | 0.6462
,,,,,,28517 | To educate girls till 12th standard | 0.6972
,,,,,,28655 | To improve education for teenage girls by encouraging them to complete their studies till class 12 | 0.6014
,,,,,,28519 | To educate girls and empower them through education | 0.6108
,,,,,,22035 | To encourage teenage girls to continue their education beyond 10th class | 0.6437
,,,,,,28634 | To empower girls through education and make them independent | 0.6081
,,,,,,4282 | To educate girls at least till 12th standard and marry them after 18 years of age | 0.7244
,,,,,,14939 | To empower girls through education and make them independent | 0.6081
,,,,,,6689 | To encourage parents to educate their daughters and help them overcome hesitation in speaking in front of others | 0.6092
,,,,,,28635 | To empower girls through education and encourage them to pursue higher studies | 0.6403
,,,,,,28679 | To help Chandni Kumari get her Aadhar Card corrected so she can attend school | 0.7047
,,,,,,20737 | To improve education accessibility for girls by addressing transportation and Aadhaar card issues | 0.789
,,,,,,28697 | To help Bharti Kumari attend school daily by correcting her parents' Aadhaar cards | 0.704
,,,,,,15379 | To enroll Ruby Kumari in school by obtaining her Aadhaar card | 0.7133
,,,,,,7321 | To encourage teenage girls to pursue education and empower them for a better future | 0.6649
,,,,,,28536 | To empower girls and women in the community by highlighting the importance of education and encouraging them to pursue their studies beyond the 9th standard | 0.6519
,,,,,,4027 | To raise awareness about the importance of education in underprivileged communities and empower girls to pursue their educational goals | 0.6509
,,,,,,28603 | To empower girls through education and create awareness about its importance in the community | 0.6961
,,,,,,28680 | To help Chandni get her Aadhar card corrected so she can attend school | 0.6997
,,,,,,3907 | To educate girls and improve their socio-economic status | 0.6391
,,,,,,28604 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,3880 | To improve girls education in the community | 0.7166
,,,,,,3881 | To empower girls through education and raise awareness about their rights | 0.6453
,,,,,,"6804 | To educate girls in Bakri village by informing their parents about government schemes and facilities, and encouraging them to send their children to school | 0.6021"
,,,,,,15408 | To solve the problem of girls not going to school and guardians not paying attention to it | 0.6374
,,,,,,3761 | To empower girls through education and raise awareness about its importance in the community | 0.694
,,,,,,4046 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,28546 | To empower girls through education and support their continued learning | 0.6492
,,,,,,15449 | To empower girls to become self-reliant through education | 0.6444
,,,,,,"28691 | To help teenage girls who have never attended school get enrolled and receive an education, by assisting them in obtaining necessary documents such as a date of birth and Aadhaar card | 0.7813"
,,,,,,28455 | To educate parents about the importance of equality and not allowing discrimination between boys and girls | 0.6889
,,,,,,40469 | To empower girls through education by providing them with opportunities to study beyond the 5th standard | 0.6551
,,,,,,28612 | To empower girls through education and help them overcome obstacles | 0.6628
,,,,,,28615 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,41559 | To empower girls through education and make them aware of the importance of education | 0.6348
,,,,,,40564 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,40571 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,40576 | To increase awareness about the importance of education among girls in the community | 0.6685
,,,,,,41593 | To promote girl education and create awareness about the importance of education in the community | 0.648
,,,,,,"41602 | To solve the problem of lack of Aadhaar card and birth certificate, which was preventing the girls from getting admission in school. | 0.8768"
,,,,,,41605 | To educate girls and make them understand the importance of education | 0.6084
,,,,,,40596 | To enroll Chanda Kumari in school by obtaining her Aadhaar card and motivating her parents | 0.7006
,,,,,,40598 | To encourage parents to educate their girls by telling inspirational stories and discussing the children's right to education | 0.6081
,,,,,,40604 | To educate girls and empower them through education | 0.6108
,,,,,,41628 | To help Poonam Kumari get admitted to school by correcting errors in her Aadhar card | 0.6498
,,,,,,41631 | To help Seema Kumari get admission in school by making her Aadhar card | 0.7099
,,,,,,41633 | To encourage girls to continue their education and empower them to succeed in life | 0.6634
,,,,,,40629 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,41655 | To promote girl education and empower them to pursue their dreams | 0.6462
,,,,,,41657 | To promote girl child education and empower them through education | 0.6301
,,,,,,40639 | To empower adolescent girls by raising awareness about the importance of education and motivating them to pursue further studies | 0.6278
,,,,,,40640 | The objective of the project was to increase awareness about the importance of girls education in the community and to motivate the girls to pursue their studies. The project aimed to empower the girls to take control of their own education and to promote the importance of education in the community. | 0.6523
,,,,,,40641 | To provide education to underprivileged children | 0.6512
,,,,,,5854 | To improve access to education for underprivileged children in rural areas | 0.6434
,,,,,,28567 | To educate girls and encourage them to pursue higher education | 0.6038
,,,,,,41682 | To increase interest in education among girls in the community | 0.6516
,,,,,,40671 | To increase awareness and importance of education among deprived groups | 0.6966
,,,,,,40675 | To educate girls and create awareness about the importance of education among parents | 0.6377
,,,,,,40689 | To educate girls and make them aware of the importance of education in their lives | 0.6371
,,,,,,40712 | To increase girls' education in the community | 0.6949
,,,,,,40715 | To empower girls through education and help them understand its importance | 0.6361
,,,,,,40721 | To correct the Aadhaar card of Puja Kumari to enable her enrollment | 0.6661
,,,,,,40728 | To re-enroll Aradhana in school and ensure she continues her education | 0.6121
,,,,,,40815 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,40816 | To empower girls in Majhi Tola to pursue education and overcome discrimination | 0.6253
,,,,,,40823 | To empower girls through education and encourage them to pursue their studies | 0.6699
,,,,,,4821 | To educate girls in the community by re-enrolling them in school and raising awareness about the importance of education | 0.6262
,,,,,,40777 | To help Puja Kumari get enrolled in school by correcting her Aadhaar card | 0.7345
,,,,,,40840 | To educate and empower girls in the community | 0.6639
,,,,,,40798 | To empower girls through education and encourage them to pursue higher studies | 0.6403
,,,,,,40849 | To connect children from deprived communities with mainstream education and raise awareness about its importance | 0.6349
,,,,,,40854 | To empower girls through education and provide them with opportunities for higher education | 0.6135
,,,,,,40871 | To promote education and empowerment of women in the community | 0.709
,,,,,,"40884 | To improve the education of girls in Rohtas, Bihar, by increasing awareness among parents and encouraging them to send their daughters to school. | 0.6082"
,,,,,,40888 | To get Sandhya Kumari enrolled in school by helping her parents make her Aadhar card | 0.6655
,,,,,,40897 | To promote girl education in Graam Mirjapur by addressing the issue of girls not being sent to school after the fifth grade | 0.617
,,,,,,29298 | To empower girls through education and help them become self-reliant | 0.6299
,,,,,,40914 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,40917 | To empower girls through education and provide them with opportunities for a better future | 0.6188
,,,,,,40929 | To empower girls through education and help them achieve their goals | 0.6364
,,,,,,40934 | To provide girls with access to education and empower them to take control of their lives | 0.6376
,,,,,,40986 | To help Suman Kumari get her Aadhar card made and enroll her in school | 0.7167
,,,,,,41004 | To enroll Sonali Kumari in school by obtaining her birth certificate and Aadhar card | 0.6192
,,,,,,41015 | To empower girls through education and provide them with opportunities for a better future | 0.6188
,,,,,,15037 | To empower girls through education and help them become independent and confident individuals | 0.6312
,,,,,,"41033 | To help Rani get her Aadhar card and enroll in school, ensuring she has access to education and a better future | 0.63"
,,,,,,"41035 | To educate and empower girls in the community, ensuring they have access to quality education and a better future | 0.6555"
,,,,,,41044 | To increase awareness about higher education in the community and encourage girls to pursue it | 0.6071
,,,,,,16397 | To educate women and promote their development in the community | 0.612
,,,,,,28622 | To improve girls education by convincing guardians to send them to school | 0.6016
,,,,,,16548 | To empower girls through education by ensuring their safety on the way to school | 0.6114
,,,,,,41060 | The objective was to empower girls through education and address the issue of girls dropping out of school due to poverty. | 0.6819
,,,,,,41066 | To empower girls through education and raise awareness about its importance in the community | 0.694
,,,,,,41067 | To enroll Supriya Kumari in school by correcting errors in her Aadhaar card | 0.7116
,,,,,,41072 | To empower girls through education and encourage them to pursue their studies beyond the 8th grade | 0.6351
,,,,,,"41073 | To improve school attendance among teenage girls in Andapur, Bihar by addressing the challenges they face | 0.6294"
,,,,,,41080 | To improve education and awareness among women and children in the community | 0.6362
,,,,,,28471 | To enroll Soni Kumari in school despite the loss of her Aadhar card | 0.7054
,,,,,,28649 | To encourage girls to study and emphasize the importance of education | 0.6169
,,,,,,41124 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,41131 | To address the issue of depriving girls of education in the community | 0.7601
,,,,,,41133 | To improve education in Bihar by helping a girl get admission in class 9 despite a wrong date of birth in her Aadhar card | 0.7227
,,,,,,41143 | To improve education for underprivileged children by convincing their parents and helping them get admitted to school | 0.6093
,,,,,,41149 | To empower girls through education and improve their socio-economic status | 0.6667
,,,,,,41193 | To promote girl education in the village | 0.6241
,,,,,,41195 | To promote girl education and empower girls in the community | 0.7005
,,,,,,41220 | To help a girl get admitted to school by assisting with her Aadhar card issue | 0.8151
,,,,,,41222 | To help Munni Kumari get admitted to school by correcting her Aadhar card | 0.6827
,,,,,,41226 | To enroll Srishti Rani in school by obtaining her Aadhaar card | 0.7051
,,,,,,41249 | To create awareness about the importance of girls' education | 0.639
,,,,,,41256 | To educate girls in the community | 0.6133
,,,,,,41259 | To empower girls through education and make them independent | 0.6081
,,,,,,41261 | To empower girls through education by enrolling them in schools | 0.6263
,,,,,,28581 | To promote education among girls in Govindpur village and encourage them to continue their studies beyond primary level | 0.605
,,,,,,41265 | To enroll Sonali Kumari in school by correcting her Aadhaar | 0.6591
,,,,,,16483 | To empower girls through education and help them shape their future | 0.6316
,,,,,,29300 | To educate and empower girls from disadvantaged backgrounds | 0.6647
,,,,,,3968 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,40512 | To promote girl education and empower women through education | 0.6737
,,,,,,40515 | To increase girls' participation in education and empower them to take control of their future | 0.6566
,,,,,,28625 | To create awareness about the importance of education for girls and encourage them to pursue their studies beyond 12th class | 0.6566
,,,,,,41285 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,40527 | To empower girls through education by addressing the issue of unfair practices in schools | 0.6854
,,,,,,40531 | To promote girls' education and empower them through knowledge | 0.6249
,,,,,,40533 | To empower girls through education by resolving issues related to their educational pursuits | 0.6681
,,,,,,41298 | To empower girls through education and improve their socio-economic status | 0.6667
,,,,,,40540 | To empower girls through education and create a positive impact in their lives | 0.6258
,,,,,,"41309 | To help Chandni Kumari get an Aadhaar card and enroll in school, ensuring she can access government benefits and education | 0.6681"
,,,,,,28585 | To encourage girls to continue their education beyond 5th standard | 0.6477
,,,,,,41378 | To enroll Priyanshu Kumari in school by obtaining her Aadhar card | 0.6742
,,,,,,41419 | To empower girls through education and ensure they complete their schooling | 0.667
,,,,,,41442 | To help Pushpa Kumari get enrolled in class 9th by obtaining her Aadhaar card | 0.6719
,,,,,,41451 | To improve girls' education in the Mahadalit community | 0.6011
,,,,,,41460 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,41500 | To educate the girl child and take her forward | 0.6471
,,,,,,41502 | To empower girls through education and encourage them to attend school regularly | 0.6324
,,,,,,41521 | To make an Aadhar card for a girl who was unable to go to school due to lack of Aadhar card | 0.8577
,,,,,,41525 | To improve education for girls by addressing the lack of education and fear that prevents them from attending school | 0.7072
,,,,,,41536 | To get Manvi Kumari enrolled in school by correcting her Aadhaar card | 0.7176
,,,,,,41550 | To enhance girls education and encourage them to study | 0.6036
,,,,,,41551 | To promote girl education and encourage parents to enroll their daughters in school | 0.6873
,,,,,,28588 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,48917 | To empower girls from deprived groups through education and motivate them to pursue their studies regularly | 0.6461
,,,,,,48919 | To empower girls in the community by raising awareness about the importance of education and encouraging them to pursue their studies | 0.6467
,,,,,,48947 | To help Anita Kumari get admission in school despite mistakes in her Aadhar card | 0.7049
,,,,,,48955 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,48958 | To promote girls' education | 0.6065
,,,,,,48978 | To promote girl education and empower girls in the village | 0.647
