Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,130,28641 | To help children obtain Aadhaar cards and improve their access to education and other benefits | 0.8113
,,,,,,15482 | To solve the problem of Aadhar card not being made | 0.8351
,,,,,,"41555 | To improve access to education for children by facilitating the creation of birth certificates and Aadhar cards, thereby addressing the issue of lack of identification documents hindering enrollment. | 0.8021"
,,,,,,40590 | To enroll children in school by obtaining Aadhaar cards for their parents | 0.869
,,,,,,41604 | To increase school enrollment by encouraging parents to obtain Aadhaar cards for their children | 0.844
,,,,,,"41610 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of lack of admission due to missing Aadhar cards | 0.9042"
,,,,,,41614 | To facilitate school enrollment by obtaining Aadhar cards for children | 0.8964
,,,,,,40611 | To improve education in Bihar by making Aadhar cards for children | 0.8278
,,,,,,40619 | To help children get admitted to school by obtaining necessary documents like Aadhar cards and birth certificates | 0.8135
,,,,,,41635 | To improve access to education by facilitating the creation of birth certificates and Aadhar cards for children | 0.8084
,,,,,,"40622 | To ensure children can attend school by obtaining Aadhar cards, addressing the issue of lack of admission due to missing Aadhar cards | 0.8992"
,,,,,,41662 | To enroll children in school by facilitating Aadhar card creation for their parents | 0.8726
,,,,,,"41663 | To ensure that all children can enroll in school without any obstacles, by providing them with the necessary documents like Aadhaar cards. | 0.8151"
,,,,,,"41684 | To help children in Shankarpur village get Aadhar cards and enroll in school, addressing the issue of lack of identification and access to education | 0.8188"
,,,,,,40691 | To enroll children in school by obtaining Aadhar cards through community efforts | 0.9211
,,,,,,40692 | To enroll children in school who were unable to do so due to lack of Aadhaar cards | 0.9002
,,,,,,40731 | To enroll children in school by registering them for Aadhaar cards and addressing the issue of non-enrollment due to lack of necessary documents | 0.8604
,,,,,,40802 | To enroll children in school by obtaining necessary documents such as birth certificates and Aadhar cards | 0.8352
,,,,,,40830 | To provide Aadhaar cards for children to enroll in school | 0.8724
,,,,,,"40783 | To correct errors in Aadhaar cards and enroll children in school, ensuring they receive necessary facilities and benefits | 0.8182"
,,,,,,"40786 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children, thus addressing the issue of incomplete documents | 0.8278"
,,,,,,40787 | To enroll children in school by correcting their Aadhar cards | 0.869
,,,,,,40870 | To resolve the issue of children not having Aadhaar cards and facilitate their admission to government schools | 0.897
,,,,,,40872 | To facilitate the enrollment of children in school by obtaining Aadhaar cards for those without them | 0.8532
