Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,7,"41610 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of lack of admission due to missing Aadhar cards | 0.9042"
,,,,,,40691 | To enroll children in school by obtaining Aadhar cards through community efforts | 0.9211
,,,,,,40692 | To enroll children in school who were unable to do so due to lack of Aadhaar cards | 0.9002
,,,,,,41359 | To resolve the issue of children not being able to enroll in school due to lack of Aadhar Card | 0.9186
,,,,,,19715 | To solve the problem of children not having Aadhaar cards | 0.9171
,,,,,,29010 | To resolve the issue of children not being enrolled in school due to Aadhaar card problems | 0.9019
,,,,,,28460 | To enroll children in school who were unable to do so due to lack of Aadhaar card | 0.9093
550e8400-e29b-41d4-a716-446655440005,Parental Attitudes and Socio-Cultural Barriers,"This theme captures responses where parental beliefs, family mindsets, and cultural norms discourage girls from attending school. It includes attitudes such as prioritizing domestic roles for girls, believing education is unnecessary for them, concerns about dowry increasing with higher education, or long-standing traditions that limit girls' mobility and learning opportunities. These socio-cultural factors collectively shape decisions that keep girls out of school.","Discrimination,cultural beliefs,social pressure,not allowed,marriage,dowry,take care of siblings,girls do not need to study,girls run away,speak foul language,purdah,burkha,ghoonghat,caste,Dalit,SC ST,gender discrimination,religious restriction,much dowry,self esteem,lack role model,where will,after studying,villagers here,girls not allowed to go out,boys prioritized,gender inequality,girls restricted,girls kept at home,community norms,village tradition,conservative family,religious restrictions for girls,girls no need to study,girls should stay home,family honor at stake,girls not permitted,purdah system,women seclusion,girls education waste,cook food,become officer,role models,educational aspirations,urdu medium,what will she do,housework,no son,daughter burden,speech weak,mother tongue",Approved,1,15036 | To ensure girls' education is not disrupted due to lack of Aadhaar card | 0.9191
550e8400-e29b-41d4-a716-446655440004,Distance and Accessibility Issues,"This theme captures challenges that prevent children from attending school due to physical and environmental conditions. It includes long distances to school, poor road or transport infrastructure, and difficulties caused by weather or seasonal factors (such as heavy rains, heat, or floods). These conditions make daily travel to school inconvenient, unreliable, or physically demanding for children.","school is far,distance of school,no bus,lack of transportation,no road,roads are bad,no school in village,rain,hot,heat,sun,has to walk a lot,long distances,no clean roads,flood,waterlogged,muddy road,no transport facility,remote village,far away,school far,very far,long distance walk,cycle not provided,bicycle for girls,no vehicle,long walk,remote area,school far from village,bad road condition,unpaved road,seasonal flooding,monsoon rain,extreme heat walking,rough terrain,hilly area,no public transport,inaccessible village,bad weather attendance,transportation system,gram panchayat road,no high school",Approved,0,
550e8400-e29b-41d4-a716-446655440007,Teacher Capacity and Quality Issues,"This theme covers responses highlighting challenges related to insufficient teachers or concerns about teaching quality. It includes issues such as vacant positions, irregular teacher attendance, overburdened staff, and gaps in subject knowledge or pedagogy. These factors affect the learning environment and reduce children's motivation to attend school regularly.","Shortage,quality issue,teacher not on time,dont pay attention,slow learning progress,academic progress,lack in academics,Lack of english education,para teacher,shiksha mitra,single teacher,teacher absent,no subject teacher,election duty,teacher vacancy,learning progress,english medium,illiterate parents,children learning,teacher transfer,frequent teacher change,teacher absent regularly,no subject-wise teacher,no trained teacher,multi-grade teaching,overcrowded classroom,children not learning,reading not improved,numeracy weak,teacher on election duty,teacher not attentive,no English teacher,poor teaching quality,children learning slow,learning english,kasturba gandhi,struck off,rural areas,digital divide,internet access,english learning,government schools,subject recruitment,tola sevak",Approved,0,
